1	1	1	2	1	1	1	3	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	4	4	2	2	2	2	3	4	5	5	3	5	5	4	4	3	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	
1	1	1	1	1	1	1	2	3	3	1	1	1	3	1	1	1	1	1	1	1	1	1	3	3	1	3	3	2	3	2	2	1	1	1	1	1	1	1	1	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	1	1	1	3	2	2	2	2	2	3	3	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	
1	1	1	2	1	1	1	3	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	1	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	3	4	4	5	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	5	5	3	5	5	3	3	3	5	5	3	3	
1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	3	3	3	3	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	
1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	2	2	2	2	2	3	4	4	5	4	4	3	3	1	6	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	5	5	1	1	1	4	1	5	5	6	6	
1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	1	3	3	3	3	3	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	1	1	4	4	
1	1	1	1	2	1	1	1	3	4	5	4	6	7	4	5	5	4	6	8	9	3	1	10	4	1	4	10	2	4	11	12	7	6	13	13	13	13	13	13	4	10	7	3	13	4	14	4	9	9	4	15	15	4	10	8	9	9	16	17	17	17	17	17	15	15	2	18	15	15	2	12	2	12	2	12	11	12	12	17	11	19	12	17	17	16	17	17	2	2	2	12	12	14	12	17	19	19	17	17	17	17	14	18	18	
1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	3	2	2	2	2	2	2	2	4	2	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	3	3	2	5	5	2	2	2	3	3	5	4	4	4	4	4	5	5	4	5	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	
1	2	1	3	1	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	4	2	2	2	2	2	4	4	2	4	2	4	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	
1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	1	2	2	2	2	2	3	4	4	1	4	4	1	3	1	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	4	4	4	1	1	1	4	1	1	4	3	3	
1	1	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	4	4	4	2	2	2	2	2	4	3	3	3	3	3	4	4	3	5	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	5	
1	1	1	2	1	1	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	4	2	3	2	2	3	3	4	3	3	3	3	3	4	4	3	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	4	4	
1	1	1	2	3	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	1	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	2	2	2	2	2	4	3	3	3	3	3	4	4	3	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	4	4	
